제목,관객수,날짜
서울의 봄,13120000,2023.11.22.
범죄도시3,10680000,2023.05.31.
엘리멘탈,7240000,2023.06.14.
스즈메의 문단속,5570000,2024.01.10.
밀수,5140000,2023.07.26.
더 퍼스트 슬램덩크,4880000,2023.01.04.
가디언즈 오브 갤럭시: Volume 3,4200000,2023.05.03.
미션 임파서블: 데드 레코닝 PART ONE,4020000,2023.07.12.
콘크리트 유토피아,3840000,2023.08.09.
아바타: 물의 길,10800000,2022.12.14.
